"ID","NAME","ACTORS","DIRECTOR","CONTENT"
"22","Big Hero 6","Heath Ledger/Danielle Brooks/Ryan Gosling/Tom Holland/Tom Hanks","Spike Lee","Heartwarming and hilarious, Big Hero 6 chronicles the unlikely bond between Tom Hanks and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"23","The Green Mile","Tom Hanks/Tom Holland","Issa Rae","The Green Mile is a must-watch for fans of fantasy."
"24","Wreck-It Ralph","Tracee Ellis Ross/Anne Hathaway/Timothée Chalamet","Spike Lee","A chilling descent into madness awaits in Wreck-It Ralph, where Tracee Ellis Ross confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"25","Winnie the Pooh","Issa Rae/Anne Hathaway/Toni Braxton/Aaliyah/Johnny Depp","Peter Jackson","A chilling descent into madness awaits in Winnie the Pooh, where Johnny Depp confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"26","Aladdin","Aaliyah","Shonda Rhimes","Aladdin is a must-watch for fans of romance."
"27","失控算法","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"28","Harry Potter and the Sorcerer's Stone","Daniel Radcliffe/Ayo Edebiri","Mamoru Hosoda","The film explores themes of friendship through the eyes of Jada Pinkett Smith."
"29","Pocahontas","Brandy Norwood/Angela Bassett","Isao Takahata","Directed by Isao Takahata, Pocahontas delivers stunning visuals and emotional depth."
"30","Big Hero 6","Ryan Gosling","Park Chan-wook","Directed by Park Chan-wook, Big Hero 6 delivers stunning visuals and emotional depth."
"31","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"32","Brother Bear","Chris Evans/Kelly Rowland/Regina King/Brandy Norwood/Tracee Ellis Ross","Ryan Coogler","A chilling descent into madness awaits in Brother Bear, where Kelly Rowland confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"33","Tangled","Colman Domingo/H.E.R.","Lee Daniels","Heartwarming and hilarious, Tangled chronicles the unlikely bond between H.E.R. and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"34","The Princess and the Frog","Anne Hathaway/Tracee Ellis Ross/Samuel L. Jackson/Meryl Streep","Greta Gerwig","Directed by Greta Gerwig, The Princess and the Frog delivers stunning visuals and emotional depth."
"35","Cars","Robert Pattinson/Ryan Gosling/Florence Pugh/Johnny Depp","Quentin Tarantino","Directed by Quentin Tarantino, Cars delivers stunning visuals and emotional depth."
"36","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"37","Bolt","Will Smith/Lupita Nyong'o","Makoto Shinkai","Directed by Makoto Shinkai, Bolt delivers stunning visuals and emotional depth."
"38","The Princess and the Frog","Issa Rae/Samuel L. Jackson","Gaspar Noé","Heartwarming and hilarious, The Princess and the Frog chronicles the unlikely bond between Samuel L. Jackson and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"39","最后一封信","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"40","逆流而上","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"41","Frozen II","Daniel Radcliffe/Harrison Ford/Denzel Washington/Jada Pinkett Smith","Ava DuVernay","In this epic tale, Denzel Washington embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"42","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"43","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"44","逆流而上","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"45","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"46","Meet the Robinsons","Jada Pinkett Smith","Gaspar Noé","In this epic tale, Jada Pinkett Smith embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"47","Sing","Kelly Rowland","David Fincher","Sing is a must-watch for fans of romance."
"48","Frozen","Aaliyah","John Singleton","Directed by John Singleton, Frozen delivers stunning visuals and emotional depth."
"49","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"50","Coco","Danielle Brooks/Denzel Washington/Morgan Freeman/Octavia Spencer","Satoshi Kon","A whimsical adventure unfolds in Coco, where Denzel Washington uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"51","The Little Mermaid II","Chris Evans/Meryl Streep/Halle Berry/Kate Winslet","Mamoru Hosoda","A chilling descent into madness awaits in The Little Mermaid II, where Meryl Streep confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"52","失控算法","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"53","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"54","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"55","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"56","Lilo & Stitch","Chris Hemsworth","Tyler Perry","Thrilling and thought-provoking, Lilo & Stitch explores the blurred lines between reality and illusion through Chris Hemsworth's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"57","Trolls","Brad Pitt/H.E.R./Emma Watson/Heath Ledger","Lars von Trier","In Trolls, Octavia Spencer stars as a hero on a mission to uncover ancient secrets."
"58","The Princess and the Frog","Tom Hanks/Angela Bassett","David Fincher","A whimsical adventure unfolds in The Princess and the Frog, where Angela Bassett uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"59","Ratatouille","Regina King/Scarlett Johansson/Taraji P. Henson/Kate Winslet","Hayao Miyazaki","The film explores themes of love through the eyes of Tom Holland."
"60","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"61","玻璃之城","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"62","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"63","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"64","Home on the Range","Florence Pugh/Jessica Chastain","Martin Scorsese","From the bustling streets of a forgotten city to the opulent halls of power, Home on the Range delves into the complexities of love with unflinching honesty. Jessica chastain's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"65","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"66","How to Train Your Dragon","Chris Hemsworth","Taika Waititi","In How to Train Your Dragon, Octavia Spencer stars as a hero on a mission to uncover ancient secrets."
"67","旧梦重来","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"68","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"69","The Lord of the Rings","Danielle Brooks/Fantasia Barrino/Emma Watson/Morgan Freeman/Robert Pattinson","Guillermo del Toro","The film explores themes of love through the eyes of Zendaya."
"70","旧梦重来","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"71","Moana","Meryl Streep","Lee Daniels","The film explores themes of love through the eyes of Halle Berry."
"72","The Silence of the Lambs","Kelly Rowland/Jessica Chastain/Christian Bale","Spike Lee","In The Silence of the Lambs, Toni Braxton stars as a hero on a mission to sacrifice everything."
"73","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"74","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"75","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"76","最后一封信","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"77","Lilo & Stitch","Taraji P. Henson/Tom Hanks/Robert Pattinson/Regina King","Ava DuVernay","From the bustling streets of a forgotten city to the opulent halls of power, Lilo & Stitch delves into the complexities of revenge with unflinching honesty. Tom hanks's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"78","最后一封信","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"79","记忆裂痕","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"80","记忆裂痕","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"81","The Lego Movie","Scarlett Johansson/Kate Winslet/Lupita Nyong'o/Chris Evans/H.E.R.","Francis Ford Coppola","Directed with masterful precision, The Lego Movie captures the raw emotion of revenge, as Lupita Nyong'o navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"82","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"83","Parasite","Brandy Norwood/Samuel L. Jackson/Issa Rae/Octavia Spencer/H.E.R.","Alfonso Cuarón","Set against a backdrop of cosmic wonders, Brandy Norwood leads a ragtag crew in Parasite on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"84","Raya and the Last Dragon","Lupita Nyong'o","Christopher Nolan","Set against a backdrop of cosmic wonders, Lupita Nyong'o leads a ragtag crew in Raya and the Last Dragon on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"85","Sleeping Beauty","Colman Domingo/Taraji P. Henson/Brandy Norwood","Tyler Perry","The film explores themes of redemption through the eyes of Ciara."
"86","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"87","记忆裂痕","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"88","旧梦重来","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"89","Monsters Inc.","Brad Pitt/Ayo Edebiri/Aaliyah","Tyler Perry","A chilling descent into madness awaits in Monsters Inc., where Ayo Edebiri confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"90","Wreck-It Ralph","Angela Bassett/Harrison Ford/Meryl Streep/Brandy Norwood/Viola Davis","Greta Gerwig","A chilling descent into madness awaits in Wreck-It Ralph, where Meryl Streep confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"91","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"92","最后一封信","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"93","Home on the Range","Regina King/Chris Hemsworth/Yara Shahidi","Kim Ki-duk","Directed by Kim Ki-duk, Home on the Range delivers stunning visuals and emotional depth."
"94","Tangled","Heath Ledger","Tyler Perry","Directed by Tyler Perry, Tangled delivers stunning visuals and emotional depth."
"95","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"96","Encanto","Tracee Ellis Ross/Viola Davis/Brad Pitt/Ciara","Ari Aster","Directed with masterful precision, Encanto captures the raw emotion of betrayal, as Tracee Ellis Ross navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"97","Bambi","Kate Winslet/Tracee Ellis Ross/Halle Berry/Ryan Gosling","Lee Daniels","From the bustling streets of a forgotten city to the opulent halls of power, Bambi delves into the complexities of revenge with unflinching honesty. Kate winslet's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"98","Moana","Harrison Ford/Ryan Gosling/Johnny Depp/Octavia Spencer/Samuel L. Jackson","Lars von Trier","Moana is a must-watch for fans of comedy."
"99","Despicable Me","Kate Winslet/Ryan Gosling/Emma Watson/Ciara","Greta Gerwig","In a world where magic collides with modernity, Despicable Me follows Emma Watson as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"100","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"101","The Incredibles","Emma Watson/Chris Hemsworth/Anne Hathaway/Aaliyah","Christopher Nolan","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"102","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"103","Chicken Little","Issa Rae/Lupita Nyong'o/Yara Shahidi","Hayao Miyazaki","Directed by Hayao Miyazaki, Chicken Little delivers stunning visuals and emotional depth."
"104","Despicable Me","Scarlett Johansson/Timothée Chalamet","Steven Spielberg","The film explores themes of love through the eyes of Margot Robbie."
"105","The Emperor's New Groove","Brandy Norwood/Samuel L. Jackson/Daniel Radcliffe/Florence Pugh","Spike Lee","In a world where magic collides with modernity, The Emperor's New Groove follows Brandy Norwood as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"106","城市边缘","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"107","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"108","Ice Age","Ciara/Timothée Chalamet/Danielle Brooks/Colman Domingo","Park Chan-wook","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"109","失控算法","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"110","Bambi","Yara Shahidi/Kate Winslet","Park Chan-wook","A chilling descent into madness awaits in Bambi, where Kate Winslet confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"111","失控算法","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"112","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"113","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"114","Lilo & Stitch","Robert Pattinson/Christian Bale","Park Chan-wook","In Lilo & Stitch, Chris Hemsworth stars as a hero on a mission to uncover ancient secrets."
"115","失控算法","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"116","Goodfellas","Tom Holland/Regina King/Amy Adams/Issa Rae","Alfonso Cuarón","Goodfellas is a must-watch for fans of romance."
"117","逆流而上","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"118","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"119","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"120","Frozen","Margot Robbie/Fantasia Barrino","Taika Waititi","Frozen is a must-watch for fans of fantasy."
"121","Toy Story","Johnny Depp/Taraji P. Henson/Chris Evans/Kate Winslet/Morgan Freeman","Makoto Shinkai","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"122","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"123","Chicken Little","Amy Adams/Danielle Brooks/Tom Holland/Robert Downey Jr./Morgan Freeman","David Fincher","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"124","荒原之路","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"125","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"126","逆流而上","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"127","Schindler's List","Robert Downey Jr./Heath Ledger/Lupita Nyong'o/Emma Watson","Zhang Yimou","Schindler's List is a must-watch for fans of romance."
"128","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"129","Inception","Samuel L. Jackson/Jada Pinkett Smith/Heath Ledger/Brandy Norwood/Fantasia Barrino","Spike Lee","The film explores themes of love through the eyes of Danielle Brooks."
"130","Moana","Jada Pinkett Smith/Zendaya/Kelly Rowland/Yara Shahidi/Timothée Chalamet","David Fincher","In Moana, Chris Evans stars as a hero on a mission to battle evil forces."
"131","玻璃之城","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"132","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"133","Black Panther","Robert Pattinson/Halle Berry","Guillermo del Toro","Black Panther is a must-watch for fans of sci-fi."
"134","Frozen","Harrison Ford/Tom Hanks/Denzel Washington/Fantasia Barrino/Emma Watson","Lars von Trier","A chilling descent into madness awaits in Frozen, where Fantasia Barrino confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"135","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"136","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"137","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"138","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"139","Tangled","Denzel Washington/Margot Robbie/Will Smith/Brandy Norwood/Emma Watson","Taika Waititi","In a world where magic collides with modernity, Tangled follows Emma Watson as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"140","Toy Story","Taraji P. Henson/Leonardo DiCaprio/Harrison Ford/Ryan Gosling","Shaft","Toy Story is a must-watch for fans of sci-fi."
"141","Kung Fu Panda","Chris Evans/Tom Holland/Amy Adams/Timothée Chalamet/Johnny Depp","Quentin Tarantino","Celebrating the resilience of the human spirit, Kung Fu Panda transports viewers to a bygone era filled with lavish costumes and sweeping romances. Tom holland delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"142","荒原之路","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"143","The Little Mermaid","Taraji P. Henson/Florence Pugh/Tracee Ellis Ross/Johnny Depp/Anne Hathaway","Ridley Scott","Directed with masterful precision, The Little Mermaid captures the raw emotion of redemption, as Taraji P. Henson navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"144","玻璃之城","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"145","城市边缘","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"146","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"147","Kung Fu Panda","Robert Downey Jr./Robert Pattinson/Harrison Ford","Wes Anderson","Kung Fu Panda is a must-watch for fans of fantasy."
"148","Cars","Meryl Streep/Timothée Chalamet/Yara Shahidi/Brad Pitt","Shonda Rhimes","In this epic tale, Meryl Streep embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"149","101 Dalmatians","Halle Berry","Quentin Tarantino","From the bustling streets of a forgotten city to the opulent halls of power, 101 Dalmatians delves into the complexities of identity with unflinching honesty. Halle berry's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"150","The Shawshank Redemption","Brad Pitt/Ryan Gosling/H.E.R./Denzel Washington/Christian Bale","Ava DuVernay","In The Shawshank Redemption, Anne Hathaway stars as a hero on a mission to battle evil forces."
"151","Atlantis: The Lost Empire","Chris Evans/Chris Evans/Amy Adams","Kim Ki-duk","The film explores themes of redemption through the eyes of Taraji P. Henson."
"152","Brother Bear","H.E.R.","Ari Aster","In a world where magic collides with modernity, Brother Bear follows H.E.R. as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"153","The Emperor's New Groove","Tom Hanks/Lupita Nyong'o/Colman Domingo","Ari Aster","Heartwarming and hilarious, The Emperor's New Groove chronicles the unlikely bond between Colman Domingo and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"154","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"155","The Avengers","Johnny Depp","Lars von Trier","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"156","失控算法","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"157","Despicable Me","Chris Evans/Kate Winslet/Samuel L. Jackson","Shaft","In this epic tale, Chris Evans embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"158","失控算法","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
